date,amount,description,category,Account,Is_Recurring
10/04/2025,-6.12,AMAZON MKTPL*NV6NR8RW0,Amazon,,False
10/03/2025,-11.15,RIVIAN CAFE,Dining/Restaurants,,False
10/04/2025,-13.34,AMAZON MKTPL*NV0DP6RH0,Amazon,,False
10/01/2025,-16.16,RIVIAN CAFE,Dining/Restaurants,,False
09/29/2025,-11.15,RIVIAN CAFE,Dining/Restaurants,,False
09/28/2025,-4.99,Prime Video Channels,Subscriptions/Streaming,,False
09/28/2025,-82.99,GOOGLE *YouTube TV,Subscriptions/Streaming,,False
09/26/2025,-22.99,GOOGLE *YouTubePremium,Subscriptions/Streaming,,False
09/25/2025,-7.99,GOOGLE *Crunchyroll,Subscriptions/Streaming,,False
09/21/2025,-26.65,NETFLIX.COM,Subscriptions/Streaming,,False
09/20/2025,-11.9,EXPRESS FUEL,Automotive/Gas,,False
09/19/2025,-40.25,SAPPCLUB.COM,Uncategorized,,False
09/19/2025,-13.47,RIVIAN CAFE,Dining/Restaurants,,False
09/19/2025,-20.99,GOOGLE *HBO Max Stream,Subscriptions/Streaming,,False
09/16/2025,-16.23,AMAZON PRIME*5U8BN1E43,Amazon,,False
09/15/2025,-12.39,RIVIAN CAFE,Dining/Restaurants,,False
09/15/2025,-54.11,AMAZON MKTPL*RR86M5723,Amazon,,False
09/15/2025,-1.99,GOOGLE *Google One,Subscriptions/Streaming,,False
09/13/2025,-69.99,STEAMGAMES.COM 4259522985,Entertainment,,False
09/10/2025,-20.25,HLU*HULUPLUS,Subscriptions/Streaming,,False
09/09/2025,-10.99,Peacock 842EE Premium,Subscriptions/Streaming,,False
09/09/2025,379.0,AUTOMATIC PAYMENT - THANK,Uncategorized,,False
09/07/2025,-12.0,Disney Plus,Subscriptions/Streaming,,False
09/06/2025,-164.11,VIOC GN0168,Uncategorized,,False
09/06/2025,-19.99,WL *Steam Purchase,Entertainment,,False
09/06/2025,-32.86,LOLA'S DELI,Uncategorized,,False
09/01/2025,-29.18,AMAZON MKTPL*K921V0983,Amazon,,False
JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113,ACH_DEBIT,-2070.97,Uncategorized,,False
TRADER JOE S #022 OCEANSIDE CA               12/18,DEBIT_CARD,-34.52,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            12/18,DEBIT_CARD,-31.97,Uncategorized,,False
RIVIAN AUTOMOTIV PAYROLL                    PPD ID: 9111111101,ACH_CREDIT,3988.72,Uncategorized,,False
COSTCO GAS #0462 CARLSBAD CA         640655  12/17,DEBIT_CARD,-52.96,Uncategorized,,False
COX COMM SAN     PURCHASE                   PPD ID: 1581620078,ACH_DEBIT,-80.0,Uncategorized,,False
Online Transfer from CHK ...9583 transaction#: 27359969295,ACCT_XFER,200.0,Uncategorized,,False
TRADER JOE S #02 2570 OCEANSIDE CA   551644  12/16,DEBIT_CARD,-225.13,Uncategorized,,False
THE UPS STORE 5 760-7294691 CA               12/15,DEBIT_CARD,-37.13,Uncategorized,,False
Online Transfer from CHK ...9583 transaction#: 27347248961,ACCT_XFER,300.0,Uncategorized,,False
VONS #2142 CARLSBAD CA                       12/15,DEBIT_CARD,-8.58,Uncategorized,,False
EXPRESS FUEL OCEANSIDE CA                    12/15,DEBIT_CARD,-37.77,Uncategorized,,False
BARCLAYCARD US   CREDITCARD 1351403859      WEB ID: 2510407970,ACH_DEBIT,-471.13,Uncategorized,,False
ELAMS HALLMARK #15 OCEANSIDE CA              12/14,DEBIT_CARD,-43.27,Uncategorized,,False
BEST PIZZA & BREW - CAR SAN DIEGO CA         12/14,DEBIT_CARD,-34.28,Uncategorized,,False
KAHOOTS CARLSBAD - 17 CARLSBAD CA            12/13,DEBIT_CARD,-93.14,Uncategorized,,False
SQ *BOUND COFFEE COMPAN Oceanside CA         12/13,DEBIT_CARD,-21.57,Uncategorized,,False
EXPRESS FUEL OCEANSIDE CA                    12/11,DEBIT_CARD,-48.53,Uncategorized,,False
Online Transfer to CHK ...9583 transaction#: 27282116778 12/10,ACCT_XFER,-100.0,Uncategorized,,False
CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,ACH_DEBIT,-35.9,Uncategorized,,False
Zelle payment from PHYLLIS P LOWENTHAL 27278536429,QUICKPAY_CREDIT,400.0,Uncategorized,,False
Zelle payment from TARA L EVENSON 27278072436,QUICKPAY_CREDIT,400.0,Uncategorized,,False
NORTHWESTERN MU  ISA PYMENT                 PPD ID: 9000596067,ACH_DEBIT,-179.46,Uncategorized,,False
NORTHWESTERN MU  ISA PYMENT                 PPD ID: 9000596067,ACH_DEBIT,-188.22,Uncategorized,,False
SQ *REVOLUTION ROASTERS OCEANSIDE CA         12/08,DEBIT_CARD,-16.5,Uncategorized,,False
LOWES #01588* OCEANSIDE CA                   12/07,DEBIT_CARD,-65.43,Uncategorized,,False
TARGET        00003038 OCEANSIDE CA          12/07,DEBIT_CARD,-63.27,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            12/07,DEBIT_CARD,-20.0,Uncategorized,,False
ACTIVE N FIT  DIRECT 844-646-2746 CA         12/07,DEBIT_CARD,-28.0,Uncategorized,,False
88 RANCH MARKET OCEANSIDE CA                 12/06,DEBIT_CARD,-29.92,Uncategorized,,False
EARNEST MO       EARNST PMT 9390589289      WEB ID: L431261525,ACH_DEBIT,-344.58,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 27216258525 12/05,ACCT_XFER,-400.0,Uncategorized,,False
JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113,ACH_DEBIT,-2070.97,Uncategorized,,False
COSTCO GAS #0462 CARLSBAD CA                 12/04,DEBIT_CARD,-55.51,Uncategorized,,False
TRADER JOE S #025 ENCINITAS CA               12/04,DEBIT_CARD,-180.6,Uncategorized,,False
RIVIAN AUTOMOTIV PAYROLL                    PPD ID: 9111111101,ACH_CREDIT,3988.71,Uncategorized,,False
ATM WITHDRAWAL                       008930  12/042580 EL C,ATM,-5.0,Uncategorized,,False
ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101,ACH_DEBIT,-218.68,Uncategorized,,False
kate spade 31848 CARLSBAD CA                 12/03,DEBIT_CARD,-113.93,Uncategorized,,False
CITI CARD ONLINE PAYMENT    431871166982562 WEB ID: CITICTP,ACH_DEBIT,-4000.0,Uncategorized,,False
MERCURY INS      PAYMENT                    PPD ID: AY52211612,ACH_DEBIT,-247.7,Uncategorized,,False
Quail Ridge Cond OnlinePay  951652          WEB ID: 1953849541,ACH_DEBIT,-421.0,Uncategorized,,False
Online Transfer from SAV ...3362 transaction#: 27181269601,ACCT_XFER,4000.0,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 27161563270 12/01,ACCT_XFER,-500.0,Uncategorized,,False
TRADER JOE S #022 OCEANSIDE CA               11/30,DEBIT_CARD,-97.48,Uncategorized,,False
WORLD MARKET  #81 OCEANSIDE CA               11/29,DEBIT_CARD,-52.31,Uncategorized,,False
MARSHALLS #0203 SOLANA BEACH CA              11/28,DEBIT_CARD,-48.92,Uncategorized,,False
KAHOOTS CARLSBAD - 17 CARLSBAD CA            11/28,DEBIT_CARD,-141.4,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            11/28,DEBIT_CARD,-20.24,Uncategorized,,False
SUPER STAR CAR WASH MIS OCEANSIDE CA         11/27,DEBIT_CARD,-25.0,Uncategorized,,False
Online Transfer from CHK ...9583 transaction#: 27156172910,ACCT_XFER,1600.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 27156172910 12/01,ACCT_XFER,-1600.0,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            11/29,DEBIT_CARD,-15.2,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            11/28,DEBIT_CARD,-13.37,Uncategorized,,False
SQ *BOUND COFFEE COMPAN Oceanside CA         11/28,DEBIT_CARD,-26.23,Uncategorized,,False
RESILIENT STRENG PAYROLL                    PPD ID: 1462800242,ACH_CREDIT,1791.84,Uncategorized,,False
INGLOURIOUS BAGELS CARLSBAD CA               11/26,DEBIT_CARD,-31.79,Uncategorized,,False
SQ *REVOLUTION ROASTERS OCEANSIDE CA         11/26,DEBIT_CARD,-24.5,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/25,DEBIT_CARD,-2.69,Uncategorized,,False
SQ *STEADY STATE ROASTI CARLSBAD CA          11/22,DEBIT_CARD,-31.75,Uncategorized,,False
LOLA'S DELI CARLSBAD CA                      11/22,DEBIT_CARD,-51.66,Uncategorized,,False
GREEN CHEEK BEER CO - 442-2668171 CA         11/21,DEBIT_CARD,-51.25,Uncategorized,,False
Online Transfer from CHK ...8171 transaction#: 27056744751,ACCT_XFER,100.0,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: VENMO REF: 25112303331537538 INFO: TEXT-  IID: 20251122021000021P1BRJPC07980015046 RECD: 22:36:44 TRN: 1994412326GC BREF: c8d85773-a4fd-412c-8536-fe6cb4047c9,MISC_CREDIT,60.92,Uncategorized,,False
VENMO            PAYMENT    1046350921573   WEB ID: 3264681992,ACH_DEBIT,-50.0,Uncategorized,,False
SQ *DREAMWAVE COFFEE Carlsbad CA             11/20,DEBIT_CARD,-12.42,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/20,DEBIT_CARD,-6.46,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 27029318169 11/20,ACCT_XFER,-100.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 27029317328 11/20,ACCT_XFER,-200.0,Uncategorized,,False
TST*OCEAN THAI CUISINE Oceanside CA          11/19,DEBIT_CARD,-42.29,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/19,DEBIT_CARD,-1.62,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: VENMO REF: 25112017164702375 INFO: TEXT-  IID: 20251120021000021P1BRJPC09010013501 RECD: 12:48:36 TRN: 0980902324GC BREF: 0bfc4cfe-aeb1-4bf9-bcb2-b3f739c7fc6,MISC_CREDIT,21.62,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: SQUARE REF: T3ZC7YJK36M94ZD INFO: TEXT-  IID: 20251120021000021P1BRJPC07460008884 RECD: 12:36:34 TRN: 0922732324GB BREF: 6f72f257-f7b9-4e26-b38e-fc35a6cc2cc,MISC_CREDIT,303.73,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/17,DEBIT_CARD,-11.15,Uncategorized,,False
INGLOURIOUS BAGELS CARLSBAD CA               11/16,DEBIT_CARD,-37.28,Uncategorized,,False
TST* THE GREAT GREEK - OCEANSIDE CA          11/14,DEBIT_CARD,-60.83,Uncategorized,,False
SQ *SAVORY FARMS Carlsbad CA                 11/14,DEBIT_CARD,-25.18,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26966594904 11/14,ACCT_XFER,-1000.0,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 26966570397 11/14,ACCT_XFER,-500.0,Uncategorized,,False
RESILIENT STRENG PAYROLL                    PPD ID: 1462800242,ACH_CREDIT,1726.25,Uncategorized,,False
VENMO            PAYMENT    1046179582756   WEB ID: 3264681992,ACH_DEBIT,-35.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26931840958 11/12,ACCT_XFER,-550.0,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/11,DEBIT_CARD,-11.15,Uncategorized,,False
TRADER JOE S #022 OCEANSIDE CA               11/10,DEBIT_CARD,-14.06,Uncategorized,,False
Square Inc       SQ251111                   PPD ID: 9424300002,ACH_CREDIT,649.52,Uncategorized,,False
NON-CHASE ATM FEE-WITH,FEE_TRANSACTION,-3.0,Uncategorized,,False
NON-CHASE ATM WITHDRAW               005505  11/063881 MISS,ATM,-102.0,Uncategorized,,False
LS CARLSBAD PET AND FE 760-9290168 CA        11/06,DEBIT_CARD,-21.54,Uncategorized,,False
SQ *HOUSE OF BAO Carlsbad CA                 11/05,DEBIT_CARD,-7.46,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        11/05,DEBIT_CARD,-1.62,Uncategorized,,False
IN-N-OUT OCEANSIDE OCEANSIDE CA              11/04,DEBIT_CARD,-17.0,Uncategorized,,False
ATM WITHDRAWAL                       003692  11/032580 EL C,ATM,-20.0,Uncategorized,,False
VENMO            PAYMENT    1045928045656   WEB ID: 3264681992,ACH_DEBIT,-70.04,Uncategorized,,False
TST*WILDLAND Carlsbad CA                     11/02,DEBIT_CARD,-17.82,Uncategorized,,False
TST*ROBATA-X Oceanside CA                    11/01,DEBIT_CARD,-115.38,Uncategorized,,False
VENMO            PAYMENT    1045865731076   WEB ID: 3264681992,ACH_DEBIT,-15.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26778816794 10/31,ACCT_XFER,-600.0,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 26778823766 10/31,ACCT_XFER,-1000.0,Uncategorized,,False
RESILIENT STRENG PAYROLL                    PPD ID: 1462800242,ACH_CREDIT,2061.15,Uncategorized,,False
LOLA'S DELI CARLSBAD CA                      10/25,DEBIT_CARD,-41.62,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            10/25,DEBIT_CARD,-21.11,Uncategorized,,False
USPS PO 0555670056 OCEANSIDE CA              10/24,DEBIT_CARD,-11.12,Uncategorized,,False
USPS PO 0555670056 OCEANSIDE CA              10/24,DEBIT_CARD,-0.78,Uncategorized,,False
SQ *PRAGER BROTHERS CAR Carlsbad CA          10/23,DEBIT_CARD,-14.66,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            10/20,DEBIT_CARD,-25.41,Uncategorized,,False
SQ *NICO?S FISH MARKET Carlsbad CA           10/17,DEBIT_CARD,-18.1,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            10/24,DEBIT_CARD,-5.87,Uncategorized,,False
TST*HOMESTATE - OCEANSI Oceanside CA         10/23,DEBIT_CARD,-31.76,Automotive/Gas,,False
JERSEY MIKES 20385 OCEANSIDE CA              10/21,DEBIT_CARD,-20.31,Uncategorized,,False
JERSEY MIKES 20385 OCEANSIDE CA              10/21,DEBIT_CARD,-16.11,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26675025634 10/22,ACCT_XFER,-600.0,Uncategorized,,False
VENMO            CASHOUT                    PPD ID: 5264681992,ACH_CREDIT,400.0,Uncategorized,,False
TST*CORNERS PIZZA OCEAN Oceanside CA         10/20,DEBIT_CARD,-45.45,Uncategorized,,False
VENMO            PAYMENT    1045636861774   WEB ID: 3264681992,ACH_DEBIT,-400.0,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: SQUARE REF: T3T5AH1MA4X696H INFO: TEXT-  IID: 20251020021000021P1BRJPC07870001219 RECD: 11:54:50 TRN: 0848762293GE BREF: ff318ab2-0938-4add-86f1-c70002fabbf,MISC_CREDIT,303.73,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: VENMO REF: 25102020467978543 INFO: TEXT-  IID: 20251020021000021P1BRJPC01180002677 RECD: 16:02:05 TRN: 1474542293GD BREF: f7627eda-494f-4f3f-900a-a84e09e8266,MISC_CREDIT,393.0,Uncategorized,,False
VENMO            PAYMENT    1045559683968   WEB ID: 3264681992,ACH_DEBIT,-35.0,Uncategorized,,False
CREAM OF THE CR OCEANSIDE CA                 10/16,DEBIT_CARD,-8.99,Uncategorized,,False
ATM WITHDRAWAL                       007365  10/162580 EL C,ATM,-10.0,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 26605653729 10/16,ACCT_XFER,-800.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26605631531 10/16,ACCT_XFER,-800.0,Uncategorized,,False
SAMS KITCHEN CARLSBAD CA                     10/15,DEBIT_CARD,-17.78,Uncategorized,,False
RESILIENT STRENG PAYROLL                    PPD ID: 1462800242,ACH_CREDIT,1714.91,Uncategorized,,False
7-ELEVEN 17043 OCEANSIDE CA                  10/12,DEBIT_CARD,-5.41,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26562243004 10/14,ACCT_XFER,-100.0,Uncategorized,,False
INGLOURIOUS BAGELS CARLSBAD CA               10/11,DEBIT_CARD,-7.92,Uncategorized,,False
VISTA BEAN COFFEE OCEANSIDE CA               10/10,DEBIT_CARD,-5.5,Uncategorized,,False
REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: SQUARE REF: T3A63XCWFR61XSV INFO: TEXT-  IID: 20251012021000021P1BRJPC03360075845 RECD: 10:18:58 TRN: 0040292285GE BREF: 919fada8-544f-4163-94fe-1f3fe6142bc,MISC_CREDIT,189.71,Uncategorized,,False
IN-N-OUT OCEANSIDE 2 OCEANSIDE CA            10/06,DEBIT_CARD,-16.29,Uncategorized,,False
VENMO            PAYMENT    1045295682926   WEB ID: 3264681992,ACH_DEBIT,-7.0,Uncategorized,,False
SP BROTHER BENNOS 176-04391244 CA            10/04,DEBIT_CARD,-8.66,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            10/04,DEBIT_CARD,-7.41,Uncategorized,,False
TST*OCEAN THAI CUISINE Oceanside CA          10/03,DEBIT_CARD,-37.13,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        10/03,DEBIT_CARD,-2.69,Uncategorized,,False
ATM WITHDRAWAL                       009842  10/022663 GATE,ATM,-20.0,Uncategorized,,False
7-ELEVEN OCEANSIDE CA                        10/02,DEBIT_CARD,-9.25,Uncategorized,,False
TST*HOMESTATE - OCEANSI Oceanside CA         10/01,DEBIT_CARD,-36.47,Uncategorized,,False
SQ *REVOLUTION ROASTERS OCEANSIDE CA         10/01,DEBIT_CARD,-15.5,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 26422675759 10/01,ACCT_XFER,-100.0,Uncategorized,,False
Online Transfer to SAV ...3362 transaction#: 26422653951 10/01,ACCT_XFER,-500.0,Uncategorized,,False
Online Transfer to CHK ...8171 transaction#: 26422630572 10/01,ACCT_XFER,-1000.0,Uncategorized,,False
RESILIENT STRENG PAYROLL                    PPD ID: 1462800242,ACH_CREDIT,1732.22,Uncategorized,,False
SQ *NEW WAVE BAGEL LLC Encinitas CA          09/28,DEBIT_CARD,-27.47,Uncategorized,,False
7-ELEVEN OCEANSIDE CA                        09/27,DEBIT_CARD,-13.59,Uncategorized,,False
LOWE'S #1588 OCEANSIDE CA            487448  09/27,DEBIT_CARD,-19.64,Uncategorized,,False
DALU HAWAIIAN BBQ OCEANSIDE CA               09/25,DEBIT_CARD,-37.78,Uncategorized,,False
Online Transfer from SAV ...3362 transaction#: 26388850187,ACCT_XFER,100.0,Uncategorized,,False
SQ *REVOLUTION ROASTERS OCEANSIDE CA         09/25,DEBIT_CARD,-7.5,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        09/24,DEBIT_CARD,-17.23,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        09/24,DEBIT_CARD,-1.76,Automotive/Gas,,False
SQ *VIGILANTE COFFEE Oceanside CA            09/23,DEBIT_CARD,-5.55,Uncategorized,,False
TST*ODIES PIZZA CO 760-579-2382 CA           09/23,DEBIT_CARD,-32.09,Uncategorized,,False
SQ *PRAGER BROTHERS CAR Carlsbad CA          09/22,DEBIT_CARD,-17.05,Uncategorized,,False
RIVIAN CAFE IRVINE CA                        09/22,DEBIT_CARD,-3.23,Uncategorized,,False
TST*HOMESTATE - OCEANSI Oceanside CA         09/21,DEBIT_CARD,-44.82,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            09/21,DEBIT_CARD,-22.65,Uncategorized,,False
TST*1022 CAFE & GELATER Oceanside CA         09/20,DEBIT_CARD,-6.77,Uncategorized,,False
DAIRY QUEEN #10130 OCEANSIDE CA              09/20,DEBIT_CARD,-6.48,Uncategorized,,False
SQ *VIGILANTE COFFEE Oceanside CA            09/20,DEBIT_CARD,-13.25,Uncategorized,,False
