Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/19/2025,"LAZ PARKING M14580 SAN DIEGO CA              09/18",-3.00,DEBIT_CARD,421.76,,
DEBIT,09/19/2025,"TST* QUEENSTOWN BISTRO SAN DIEGO CA          09/18",-28.44,DEBIT_CARD,424.76,,
CREDIT,09/19/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-SQUARE REF: T37FK0948W6EECR INFO: TEXT-  IID: 20250919021000021P1BRJPC02480145731 RECD: 16:44:37 TRN: 1842962262GD BREF: b320c72a-b93b-410d-b829-4d25c8cad95",303.73,MISC_CREDIT,453.20,,
DEBIT,09/18/2025,"VENMO            PAYMENT    1044943087186   WEB ID: 3264681992",-35.00,ACH_DEBIT,149.47,,
DEBIT,09/18/2025,"7-ELEVEN CARLSBAD CA                         09/18",-3.29,DEBIT_CARD,184.47,,
DEBIT,09/18/2025,"SQ *BABA NATURAL FOODS Oceanside CA          09/17",-16.50,DEBIT_CARD,187.76,,
DEBIT,09/18/2025,"SQ *MADELINE FARMERS MA Oceanside CA         09/17",-10.50,DEBIT_CARD,204.26,,
DEBIT,09/17/2025,"VENMO            PAYMENT    1044922850287   WEB ID: 3264681992",-6.00,ACH_DEBIT,214.76,,
DEBIT,09/17/2025,"Online Transfer to SAV ...3362 transaction#: 26257121615 09/17",-89.00,ACCT_XFER,220.76,,
DEBIT,09/16/2025,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,309.76,,
DEBIT,09/16/2025,"NON-CHASE ATM WITHDRAW               001495  09/162216 SOUT",-21.99,ATM,312.76,,
DEBIT,09/16/2025,"Online Transfer to SAV ...3362 transaction#: 26243020195 09/16",-100.00,ACCT_XFER,334.75,,
DEBIT,09/16/2025,"Online Transfer to CHK ...8171 transaction#: 26243009142 09/16",-1400.00,ACCT_XFER,434.75,,
DEBIT,09/16/2025,"RIVIAN CAFE IRVINE CA                        09/15",-2.59,DEBIT_CARD,1834.75,,
CREDIT,09/16/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1648.71,ACH_CREDIT,1837.34,,
DEBIT,09/16/2025,"SP COMETEER GLOUCESTER MA                    09/15",89.99,DEBIT_CARD,188.63,,
DEBIT,09/15/2025,"SP COMETEER COMETEER.COM MA                  09/14",-89.99,DEBIT_CARD,98.64,,
DEBIT,09/15/2025,"SP PIGMENT INC. 185-55016318 CA              09/13",-17.24,DEBIT_CARD,188.63,,
DEBIT,09/15/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         09/13",-8.00,DEBIT_CARD,205.87,,
DEBIT,09/15/2025,"SQ *VIGILANTE COFFEE Oceanside CA            09/13",-11.91,DEBIT_CARD,213.87,,
DEBIT,09/15/2025,"TST*ODIES PIZZA CO Oceanside CA              09/12",-38.49,DEBIT_CARD,225.78,,
CREDIT,09/15/2025,"Online Transfer from CHK ...8171 transaction#: 26219568149",90.00,ACCT_XFER,264.27,,
DEBIT,09/08/2025,"VENMO            PAYMENT    1044728105028   WEB ID: 3264681992",-50.00,ACH_DEBIT,174.27,,
DEBIT,09/08/2025,"Online Transfer to CHK ...8171 transaction#: 26150568508 09/08",-500.00,ACCT_XFER,224.27,,
DEBIT,09/08/2025,"SQ *VIGILANTE COFFEE Oceanside CA            09/06",-8.58,DEBIT_CARD,724.27,,
DEBIT,09/08/2025,"SQ *VIGILANTE COFFEE Oceanside CA            09/06",-13.04,DEBIT_CARD,732.85,,
DEBIT,09/08/2025,"RIVIAN CAFE IRVINE CA                        09/05",-11.15,DEBIT_CARD,745.89,,
DEBIT,09/08/2025,"RIVIAN CAFE IRVINE CA                        09/05",-5.28,DEBIT_CARD,757.04,,
CREDIT,09/08/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-SQUARE REF: T36GJ2XR1N0STZ4 INFO: TEXT-  IID: 20250908021000021P1BRJPC05920038408 RECD: 10:22:28 TRN: 1117512251GA BREF: 4d1e1e3d-48e3-45e4-a3db-bb9f8dec1a9",638.15,MISC_CREDIT,762.32,,
DEBIT,09/05/2025,"SP COMETEER COMETEER.COM MA                  09/04",-9.99,DEBIT_CARD,124.17,,
DEBIT,09/04/2025,"RIVIAN CAFE IRVINE CA                        09/03",-2.14,DEBIT_CARD,134.16,,
DEBIT,09/04/2025,"RIVIAN CAFE IRVINE CA                        09/03",-1.62,DEBIT_CARD,136.30,,
DEBIT,09/02/2025,"SQ *VIGILANTE COFFEE Oceanside CA            09/01",-29.96,DEBIT_CARD,137.92,,
DEBIT,09/02/2025,"SQ *TACOS 1975 OCEANSIDE CA                  08/31",-17.45,DEBIT_CARD,167.88,,
DEBIT,09/02/2025,"SQ *SMASH'D BURGERS OCEANSIDE CA             08/31",-46.55,DEBIT_CARD,185.33,,
DEBIT,09/02/2025,"Online Transfer to CHK ...8171 transaction#: 26054465129 09/02",-300.00,ACCT_XFER,231.88,,
DEBIT,09/02/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         08/31",-14.00,DEBIT_CARD,531.88,,
DEBIT,09/02/2025,"SQ *LANDMARK PLANT CO. Oceanside CA          08/30",-15.79,DEBIT_CARD,545.88,,
DEBIT,09/02/2025,"SQ *MOSTRA COFFEE San Diego CA               08/30",-19.68,DEBIT_CARD,561.67,,
DEBIT,09/02/2025,"PY *ESS-A-BAGEL NEWARK NJ                    08/30",-7.14,DEBIT_CARD,581.35,,
DEBIT,09/02/2025,"TST*TACO STAND OCEANS 760-385-6222 CA        08/30",-13.02,DEBIT_CARD,588.49,,
CREDIT,09/02/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-VENMO REF: 25090117325436865 INFO: TEXT-  IID: 20250901021000021P1BRJPC07200163788 RECD: 13:49:20 TRN: 0959532244GD BREF: 8d8718a5-d611-4b88-98bd-afd1070de02",24.57,MISC_CREDIT,601.51,,
DEBIT,08/29/2025,"Online Transfer to CHK ...8171 transaction#: 26028898246 08/29",-600.00,ACCT_XFER,576.94,,
DEBIT,08/29/2025,"OLLIES BARGAIN OUTLET TOMS RIVER NJ          08/29",-20.23,DEBIT_CARD,1176.94,,
DEBIT,08/29/2025,"DUNKIN #339061 TOMS RIVER NJ                 08/28",-3.83,DEBIT_CARD,1197.17,,
DEBIT,08/29/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/28",-6.41,DEBIT_CARD,1201.00,,
CREDIT,08/29/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1070.29,ACH_CREDIT,1207.41,,
DEBIT,08/28/2025,"TST*ALFA BAGELS Randolph NJ                  08/27",-27.14,DEBIT_CARD,137.12,,
DEBIT,08/27/2025,"STARBUCKS T2 WEST SAN SAN DIEGO CA           08/27",-3.99,DEBIT_CARD,164.26,,
DEBIT,08/27/2025,"HUDSON/TECH ST 1514 SAN DIEGO CA             08/26",-8.29,DEBIT_CARD,168.25,,
DEBIT,08/26/2025,"TST*ODIES PIZZA CO Oceanside CA              08/25",-42.56,DEBIT_CARD,176.54,,
DEBIT,08/26/2025,"RIVIAN CAFE IRVINE CA                        08/25",-6.73,DEBIT_CARD,219.10,,
DEBIT,08/26/2025,"RIVIAN CAFE IRVINE CA                        08/25",-2.69,DEBIT_CARD,225.83,,
DEBIT,08/25/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/24",-15.59,DEBIT_CARD,228.52,,
DEBIT,08/25/2025,"SQ *STEADY STATE ROASTI CARLSBAD CA          08/24",-10.75,DEBIT_CARD,244.11,,
DEBIT,08/25/2025,"Nyx*8336322778 ELECTRI HUNT VALLEY MD        08/23",-31.16,DEBIT_CARD,254.86,,
DEBIT,08/25/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/23",-13.25,DEBIT_CARD,286.02,,
DEBIT,08/25/2025,"Online Transfer to CHK ...8171 transaction#: 25955304676 08/25",-250.00,ACCT_XFER,299.27,,
DEBIT,08/25/2025,"THE HENRY 7508 UPNGO CARLSBAD CA             08/22",-50.73,DEBIT_CARD,549.27,,
DEBIT,08/25/2025,"SUPER STAR CAR WASH MIS OCEANSIDE CA         08/22",-25.00,DEBIT_CARD,600.00,,
CREDIT,08/25/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-VENMO REF: 25082514631668840 INFO: TEXT-  IID: 20250825021000021P1BRJPC05360033338 RECD: 10:11:23 TRN: 0703762237GE BREF: a3c5764c-277b-4564-a1fa-4d857458ec3",49.13,MISC_CREDIT,625.00,,
CREDIT,08/22/2025,"Square Inc       SQ250822                   PPD ID: 9424300002",309.14,ACH_CREDIT,575.87,,
DEBIT,08/21/2025,"Online Transfer to CHK ...8171 transaction#: 25933902116 08/21",-200.00,ACCT_XFER,266.73,,
DEBIT,08/21/2025,"VENMO            PAYMENT    1044323559298   WEB ID: 3264681992",-50.00,ACH_DEBIT,466.73,,
DEBIT,08/21/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/21",-16.29,DEBIT_CARD,516.73,,
DEBIT,08/21/2025,"7-ELEVEN IRVINE CA                           08/20",-3.59,DEBIT_CARD,533.02,,
DEBIT,08/21/2025,"TST*HANGAR 24 BREWERY O Irvine CA            08/20",-32.32,DEBIT_CARD,536.61,,
CREDIT,08/21/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",400.00,ACH_CREDIT,568.93,,
DEBIT,08/18/2025,"TST*DOCENT BREWING CARL Carlsbad CA          08/17",-39.65,DEBIT_CARD,168.93,,
DEBIT,08/18/2025,"VALERIES TACO SHOP OCEANSIDE CA              08/16",-40.58,DEBIT_CARD,208.58,,
DEBIT,08/18/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         08/16",-13.00,DEBIT_CARD,249.16,,
DEBIT,08/18/2025,"TST*ROSE CAFE Oceanside CA                   08/16",-42.02,DEBIT_CARD,262.16,,
DEBIT,08/18/2025,"TST* EUREKA RESTAURANT CARLSBAD CA           08/16",-82.39,DEBIT_CARD,304.18,,
DEBIT,08/18/2025,"SQ *PRAGER BROTHERS CAR Carlsbad CA          08/15",-11.50,DEBIT_CARD,386.57,,
DEBIT,08/18/2025,"HEIGHTS MARKET SAN DIEGO CA                  08/14",-24.27,DEBIT_CARD,398.07,,
DEBIT,08/15/2025,"TRADER JOE S #22 2629 CARLSBAD CA    429503  08/15",-12.91,DEBIT_CARD,422.34,,
DEBIT,08/15/2025,"Online Transfer to CHK ...8171 transaction#: 25857211562 08/15",-1000.00,ACCT_XFER,435.25,,
DEBIT,08/15/2025,"STARBUCKS STORE 13640 SAN DIEGO CA           08/14",-8.25,DEBIT_CARD,1435.25,,
CREDIT,08/15/2025,"RESILIENT STRENG PAYROLL                    PPD ID: 1462800242",1305.50,ACH_CREDIT,1443.50,,
DEBIT,08/14/2025,"SQ *VIGILANTE COFFEE Oceanside CA            08/14",-13.64,DEBIT_CARD,138.00,,
DEBIT,08/14/2025,"TST*OCEAN THAI CUISINE Oceanside CA          08/13",-34.60,DEBIT_CARD,151.64,,
DEBIT,08/14/2025,"RIVIAN CAFE IRVINE CA                        08/13",-1.62,DEBIT_CARD,186.24,,
DEBIT,08/14/2025,"RIVIAN CAFE IRVINE CA                        08/13",-6.20,DEBIT_CARD,187.86,,
DEBIT,08/11/2025,"SQ *LOFTY COFFEE CARLSBAD CA                 08/10",-14.25,DEBIT_CARD,194.06,,
DEBIT,08/11/2025,"TST*DOCENT BREWING CARL Carlsbad CA          08/09",-17.98,DEBIT_CARD,208.31,,
DEBIT,08/11/2025,"ZG * RENTAPPLICATION 206-516-2265 WA         08/09",-35.00,DEBIT_CARD,226.29,,
DEBIT,08/11/2025,"ZG * RENTAPPLICATION 206-516-2265 WA         08/09",-35.00,DEBIT_CARD,261.29,,
