Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,12/10/2025,"Zelle payment from TARA L EVENSON 27278072436",400.00,QUICKPAY_CREDIT,1541.65,,
DEBIT,12/09/2025,"NORTHWESTERN MU  ISA PYMENT                 PPD ID: 9000596067",-179.46,ACH_DEBIT,1141.65,,
DEBIT,12/09/2025,"NORTHWESTERN MU  ISA PYMENT                 PPD ID: 9000596067",-188.22,ACH_DEBIT,1321.11,,
DEBIT,12/08/2025,"SQ *REVOLUTION ROASTERS OCEANSIDE CA         12/08",-16.50,DEBIT_CARD,1509.33,,
DEBIT,12/08/2025,"LOWES #01588* OCEANSIDE CA                   12/07",-65.43,DEBIT_CARD,1525.83,,
DEBIT,12/08/2025,"TARGET        00003038 OCEANSIDE CA          12/07",-63.27,DEBIT_CARD,1591.26,,
DEBIT,12/08/2025,"SQ *VIGILANTE COFFEE Oceanside CA            12/07",-20.00,DEBIT_CARD,1654.53,,
DEBIT,12/08/2025,"ACTIVE N FIT  DIRECT 844-646-2746 CA         12/07",-28.00,DEBIT_CARD,1674.53,,
DEBIT,12/08/2025,"88 RANCH MARKET OCEANSIDE CA                 12/06",-29.92,DEBIT_CARD,1702.53,,
DEBIT,12/08/2025,"EARNEST MO       EARNST PMT 9390589289      WEB ID: L431261525",-344.58,ACH_DEBIT,1732.45,,
DEBIT,12/05/2025,"Online Transfer to SAV ...3362 transaction#: 27216258525 12/05",-400.00,ACCT_XFER,2077.03,,
DEBIT,12/05/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-2070.97,ACH_DEBIT,2477.03,,
DEBIT,12/05/2025,"COSTCO GAS #0462 CARLSBAD CA                 12/04",-55.51,DEBIT_CARD,4548.00,,
DEBIT,12/05/2025,"TRADER JOE S #025 ENCINITAS CA               12/04",-180.60,DEBIT_CARD,4603.51,,
CREDIT,12/05/2025,"RIVIAN AUTOMOTIV PAYROLL                    PPD ID: 9111111101",3988.71,ACH_CREDIT,4784.11,,
DEBIT,12/04/2025,"ATM WITHDRAWAL                       008930  12/042580 EL C",-5.00,ATM,795.40,,
DEBIT,12/04/2025,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-218.68,ACH_DEBIT,800.40,,
DEBIT,12/04/2025,"kate spade 31848 CARLSBAD CA                 12/03",-113.93,DEBIT_CARD,1019.08,,
DEBIT,12/03/2025,"CITI CARD ONLINE PAYMENT    431871166982562 WEB ID: CITICTP",-4000.00,ACH_DEBIT,1133.01,,
DEBIT,12/02/2025,"MERCURY INS      PAYMENT                    PPD ID: AY52211612",-247.70,ACH_DEBIT,5133.01,,
DEBIT,12/02/2025,"Quail Ridge Cond OnlinePay  951652          WEB ID: 1953849541",-421.00,ACH_DEBIT,5380.71,,
CREDIT,12/02/2025,"Online Transfer from SAV ...3362 transaction#: 27181269601",4000.00,ACCT_XFER,5801.71,,
DEBIT,12/01/2025,"Online Transfer to SAV ...3362 transaction#: 27161563270 12/01",-500.00,ACCT_XFER,1801.71,,
DEBIT,12/01/2025,"TRADER JOE S #022 OCEANSIDE CA               11/30",-97.48,DEBIT_CARD,2301.71,,
DEBIT,12/01/2025,"WORLD MARKET  #81 OCEANSIDE CA               11/29",-52.31,DEBIT_CARD,2399.19,,
DEBIT,12/01/2025,"MARSHALLS #0203 SOLANA BEACH CA              11/28",-48.92,DEBIT_CARD,2451.50,,
DEBIT,12/01/2025,"KAHOOTS CARLSBAD - 17 CARLSBAD CA            11/28",-141.40,DEBIT_CARD,2500.42,,
DEBIT,12/01/2025,"SQ *VIGILANTE COFFEE Oceanside CA            11/28",-20.24,DEBIT_CARD,2641.82,,
DEBIT,12/01/2025,"SUPER STAR CAR WASH MIS OCEANSIDE CA         11/27",-25.00,DEBIT_CARD,2662.06,,
CREDIT,12/01/2025,"Online Transfer from CHK ...9583 transaction#: 27156172910",1600.00,ACCT_XFER,2687.06,,
